"Time","Glucose","CO2","Fungi","Bacteria","Cflush","pH"
0,NA,0,0,0,0,0
0.19,-0.0494379554205607,NA,NA,NA,NA,NA
1,-0.0490237957455373,0.0969428965172713,0.119372142426302,-0.109211278646872,-1.43981784342975,-1.01416854441569
2,0.142346697315573,0.0795665448423243,0.216314009846337,-0.161585137170729,0.164351939772755,-1.22000068321615
3,-0.243584972463562,-0.0678099769272504,0.270402005954395,-0.219869909506658,-0.911268958397098,0.412414925338934
4,NA,NA,NA,NA,NA,NA
7,-2.07507891036996e-12,0.0836016171857245,-0.0546127456856841,-2.12776568154692,0.91506915254484,-0.864024195147135
9,1.27362029918351e-15,0.0440174874461579,0.40441331751084,-0.737426599327166,0.201224943069173,0.59714253779886
14,-3.42741833928184e-16,0.00598864169695074,0.331032156757321,0.385797109151731,0.0157804444082223,0.231660063943562
16,2.54235332752576e-16,-0.0019801922691767,0.0475086968394776,0.43311384790725,0.679971097134726,0.963240527871026
21,2.00290931961302e-14,-0.0294237905960545,-0.357413809945275,0.797658211163078,NA,-0.094693331305852
23,1.25829992527403e-13,-0.0427393943050816,-0.748786470310791,0.277897466611402,0.399221692397034,-0.0149776137675915
30,2.00418374550487e-12,-0.0748473363670355,-0.851915627525809,-0.0135684583826264,NA,-0.0607061495359805
35,1.67756421136756e-11,-0.0950082778081639,-0.196579198226886,-0.200346179361641,-0.0484540170513964,-0.679954996736624
38,1.84924667116398e-12,-0.114405579547199,0.0588778374894614,-0.28148141836854,NA,-0.566750827848519
50,2.63226312430766e-13,-0.194643777800359,-0.154899574677106,-0.447696535949778,NA,0.524547182510731
58,-8.12513661869455e-13,-0.228480346796507,-0.139358891166647,-0.463114319852865,-0.585852364234376,1.11815482267102
