"","","edemandF","etaF","kF","edemandB","etaB","kB","Im","KmA","KmG","Gm","psi","nb","ng","a"
"result.1",1,1.54206559631831,3.41060934716155,0.00835006368268118,9.99729617865118,0.100016792300928,0.00322313814758565,1.85667479155868,499.979230369646,9.57936866941669,0.503112156519879,0.19710285820734,0.241584446134698,0.673131552447325,0.128922707023449
"result.2",2,0.987774228285803,0.32922029474732,0.0211108898204714,9.99987377736229,0.100118670718083,0.00222791719446416,2.46457384845545,499.882666745169,28.4793693742273,0.588912461393577,0.0723123149746651,0.340753811708046,0.849550463329479,0.113704129168753
"result.3",3,0.800052314069468,0.400158288974565,0.0161234977117334,9.99986314095183,0.100038578190422,0.00260381170785416,1.30601314281073,440.99109120136,8.60141643285248,0.500842456802303,0.20265156623656,0.19619942663598,0.492315558558756,0.118736788358824
"result.4",4,0.819239390134312,2.31615935798201,0.0211108898204714,9.99798876170359,0.100118670718083,0.00152989114803449,1.6629657316433,499.882666745169,12.4898852978362,0.502000637909562,0.153045843010553,0.225562344893202,0.623897046048502,0.110811984282997
"result.5",5,0.827525641427563,0.335660833470521,0.0221228083665319,9.99890089562706,0.100183382640521,0.00257658395605472,1.76543878697573,499.974692272662,13.8347432150094,0.654238937585771,0.151472416203259,0.242833074411061,0.518989447218736,0.110682205887307
"result.6",6,0.867261686357358,2.73861468501095,0.00835006368268118,9.99729617865118,0.100016792300928,0.000419235472578108,1.46188833031258,499.979230369646,9.65892892963504,0.556455574301439,0.205711218404276,0.182070817621332,0.465040828252296,0.127308559525515
"result.7",7,0.80408109568557,3.22032059617737,0.0211108898204714,9.99798880459912,0.100118670718083,0.00184756995081932,1.6336519711699,499.882666745169,11.2370244239505,0.502000637909562,0.168949026987558,0.220450532539457,0.609563642847719,0.109888054591992
"result.8",8,0.800052314069468,1.81597257151561,0.0211108898204714,9.99798880459912,0.100118670718083,0.00468363223153751,1.3743726572165,478.19519775877,8.85955049259642,0.502000637909562,0.20388121895463,0.20994622647321,0.52611100019603,0.121600091299472
"result.9",9,1.04102660962523,0.436805109772352,0.0211108898204714,9.99798880459912,0.100118670718083,0.003069069792551,1.81536501120223,499.882666745169,11.4253442283777,0.502000637909562,0.159400443283853,0.250982858153968,0.690880674995497,0.113378436033418
"result.10",10,0.859658802087476,0.32639365781303,0.0147786102176091,9.99911984046767,0.100106422060838,0.000994139348916496,1.67226128671009,499.894278706409,11.842490712098,0.500444514267128,0.177313747779569,0.214886435119314,0.596568287778065,0.121614978419171
"result.11",11,0.800052314069468,0.363760692404253,0.021336513891337,9.99957737705081,0.100062773753992,0.000855922084150139,1.88611556467598,499.762161479721,15.3621226399663,0.733036840658088,0.134670046131455,0.245028366545845,0.482105628086331,0.109945991911964
"result.12",12,0.800052314069468,0.301503746231599,0.0156417694263158,9.99986771618219,0.100007222253105,0.00181547579365429,1.5597436641122,499.826278148654,11.3326694410153,0.500324308713691,0.17582426692486,0.210602101520434,0.590602650932195,0.119028516518789
"result.13",13,2.29249717292981,0.812132770207358,0.00995948201954185,9.99987363217691,0.100088559793854,0.00240124401242839,4.7327357888436,499.903846778451,51.8808242442785,1.95962621855028,0.0500285939505187,0.566619174952355,0.468081781162594,0.130929698530033
"result.14",14,1.15336652010397,0.404700832608737,0.0114315469624734,9.99958081483728,0.100049808986628,0.00200516993504837,1.54307392410577,388.625938533471,10.002472907682,0.501601086456921,0.163462495397257,0.240280029029215,0.581029156044664,0.12590164084334
"result.15",15,0.800052314069468,3.1967906613583,0.0228634116479304,9.99977072163082,0.100019471468407,0.00390959062621387,1.37600618533505,447.601995376929,9.28352975034794,0.500392541783093,0.192407540325836,0.213670527557353,0.540747191781678,0.109712062873779
"result.16",16,0.828234012172137,1.52357812321737,0.0100414899898868,9.9993778111173,0.100018427113766,0.00136655675629199,1.39272048069948,499.739799794114,9.32309560736961,0.503667140146194,0.20803384535876,0.182733307287439,0.510899297429355,0.124887775602863
"result.17",17,1.86112669135093,0.740418441662327,0.0071788234959282,9.99752646242621,0.100183382640521,0.00364360456270094,2.1681523144997,499.982627804147,9.93107088423285,0.674473125329157,0.183404426241116,0.274429818335425,0.564531717971041,0.131140943297705
"result.18",18,0.858526746232766,0.291979610451744,0.00835006368268118,9.99729617865118,0.100016792300928,0.00134872545791532,1.41880645202995,499.979230365099,9.88730287133821,0.503112156519879,0.206199953875819,0.185813105106832,0.52442164694691,0.12890192600822
"result.19",19,0.800052314069468,0.600706687536052,0.0191187743689572,9.99997049751235,0.100135094793442,0.00267855973967075,1.24432932954537,401.612909632493,7.74411673703695,0.500336730870962,0.207373183272221,0.200583675313745,0.485087571952557,0.11758460290147
"result.20",20,0.800052314069468,0.997989177942693,0.00995948201954185,9.99987363217691,0.100088559793854,0.00130823043649564,1.35829281454453,499.903846778451,9.11181202622823,0.500590409372071,0.210590917324724,0.179555665934042,0.489150344957835,0.127687695229618
"result.21",21,0.997619680877608,2.78487685929943,0.0149756058044964,9.99924312184714,0.100100755028818,0.00218822227355024,1.62647690282812,499.960962952474,10.4385324063643,0.500292076606734,0.176461260446144,0.220454617918639,0.606357839884706,0.119471122724852
"result.22",22,0.800052314069468,3.33622989313376,0.0211108898204714,9.99798880459912,0.100118670718083,0.00234578694274171,1.5469984826042,499.882666745169,9.91777678099087,0.500126880408606,0.188023560309097,0.214247977042249,0.559836595245338,0.114822393113186
"result.23",23,1.9168992278396,0.689547319836095,0.00827026478107367,9.9996208324761,0.10001183782102,0.00264207454813674,2.6747620719939,499.924265743017,15.2520643791799,0.678508747996976,0.137348604197335,0.330226426284998,0.730691595932966,0.130235190691261
"result.24",24,1.12314615199252,3.0731622865527,0.0124014083882827,9.99970754208582,0.10011589196686,0.00221352150949144,1.66024961369875,499.97173889935,9.93708706503297,0.501232140460131,0.20144645548167,0.216100215127007,0.594989897832971,0.124340417564858
"result.25",25,0.800052314069468,2.07717637369131,0.0211108898204714,9.99798880459912,0.100118670718083,0.0021352783481506,1.60182919500876,499.882666745169,10.9901177151965,0.502000637909562,0.181939053799822,0.217354198474206,0.592962576596018,0.111454960513201
"result.26",26,0.880355839303674,0.375478884801943,0.0149756058044964,9.99680566332496,0.100100755028818,0.00122024801621651,1.63183963227731,499.960962952474,10.4092824952575,0.605040269228209,0.189786079940532,0.208279778664016,0.486561485619959,0.119706358346806
"result.27",27,0.85488534143922,0.33800216281607,0.0284725099818157,9.99945132197527,0.100026072066106,0.00152960910136076,1.80072951405047,349.827142770673,17.8298587600494,0.60918562862121,0.0912130536218293,0.310755575088929,0.577480281363026,0.106378760380972
"result.28",28,0.800052314069468,0.898431805516129,0.0100414899899536,9.99937802515345,0.100018427113766,0.00205838600079419,1.30018795624897,499.739799794114,8.62801644772044,0.502395528737404,0.230499730412,0.173985220393379,0.483932805257751,0.125842333921154
"result.29",29,0.800052314069468,0.351569669622404,0.0142156988925509,9.99938496575617,0.100106805730835,0.000866099863951735,1.5256173912308,499.970887634421,9.79669243529383,0.551355011764396,0.205553050532156,0.19278442640553,0.482792760614537,0.121443916906282
"result.30",30,1.76688341989964,0.710144793076396,0.0136735159316742,9.99927135498233,0.100100526021744,0.00520307810115147,2.12501450429699,464.28039793469,12.20164492512,0.642582327464714,0.150059186203748,0.307712840683655,0.647037325284839,0.117542631277342
"result.31",31,0.908981384398171,0.310159422002778,0.0164023772376445,9.99680566332496,0.100050164177279,0.00187606579162871,2.00524417785289,499.745221416552,16.7467415704558,0.643597175884754,0.1248410258172,0.267263076681231,0.595074393620343,0.120293531253597
"result.32",32,0.800052314069468,1.93992435200891,0.0211108898204714,9.99798880459912,0.100118670718083,0.00279242433492907,1.50869044807414,499.882666745169,9.88396927753242,0.502000637909562,0.205548578315201,0.206898056832477,0.549776394168716,0.114051946365951
"result.33",33,0.800052314069468,2.51794015757642,0.0196914080823586,9.99937394145476,0.106692604484035,0.000981401249308571,1.74422410472654,499.942024910501,10.2711965429537,0.57604427483716,0.189157812820208,0.210148923556964,0.518003667281664,0.125840205655844
"result.34",34,0.800052314069468,0.253333950315516,0.0211108898204714,9.99798880459912,0.100118670718083,0.00259141632026676,2.5486182098147,499.882666745169,41.1684112832602,1.06161588216246,0.0500285939505187,0.357537834662636,0.503150930932805,0.118220980103093
"result.35",35,0.800052314069468,3.10612261846317,0.0211108898204714,9.99798880459912,0.100118670718083,0.00279757242199502,1.5217507426666,499.882666745169,10.141217331333,0.502000637909562,0.194820176671065,0.209396866300645,0.571280529090025,0.111727160429922
"result.36",36,0.800052314069468,1.80145719606554,0.0226170205932186,9.9999626800367,0.100043203251385,0.00268450582999275,1.58038760260267,499.895450186223,11.3196266499168,0.500346303586192,0.176210444275058,0.221809442400854,0.590967548659635,0.111477573464234
"result.37",37,1.07430592971063,4.99299755956612,0.0211108898204714,9.99798880459912,0.100118670718083,0.00274357990160953,1.85284555483278,499.882666745169,10.4260328819358,0.570487447092895,0.202097801417092,0.24201788077366,0.564053056227084,0.124572161719615
"result.38",38,0.800052314069468,1.04875886972368,0.0184352554074389,9.99940115420172,0.100098280311534,0.00300320257734639,1.37036902602313,462.733190334492,8.87177444343726,0.500765823183531,0.202812111556197,0.201272550932067,0.520414052865139,0.117198862268435
"result.39",39,0.836504167568343,3.03767545744497,0.0161234977117334,9.99986314095183,0.100038578190422,0.0015308869728878,1.56361220350923,499.925234076531,11.4279518863165,0.500842456802303,0.170394204184366,0.209794083637859,0.588871881698059,0.116164927928727
"result.40",40,0.800052314069468,3.27152398456366,0.0211108898204714,9.99798880459912,0.100118670718083,0.0026712421428399,1.56193119659571,499.882666745169,11.1583344410686,0.502000637909562,0.1709087952764,0.219313697812001,0.59379775812819,0.110461692764147
"result.41",41,0.800052314069468,0.648600472071999,0.0211108898204714,9.99798880459912,0.100118670718083,0.00229608460002605,1.53727834195729,499.882666745169,10.2656764518901,0.502000637909562,0.197459388156289,0.206185723463309,0.569323009113711,0.111874586594097
"result.42",42,1.05608940371884,3.0731622865527,0.0124014083882827,9.99970754208582,0.10011589196686,0.00266414818537272,1.4470649124337,434.828150246967,8.81962747945846,0.501232140460131,0.18846996984566,0.214238733215288,0.548111438054198,0.121018386874255
"result.43",43,1.07077647690235,0.405657851081576,0.0124014083882827,9.99970752616782,0.10011589196686,0.00180997165857764,1.76601207057128,499.97173889935,11.5650914423142,0.599207335488177,0.175682437967769,0.228006779806204,0.548743539869416,0.122934031168025
"result.44",44,0.838903241748092,0.318059180764615,0.0142156988925509,9.99980147217999,0.100120951865065,0.0016804602318708,1.61104853661565,499.745221697652,12.0311698013649,0.600526940412751,0.176187874876307,0.211999337980098,0.503414082784772,0.120372598983387
"result.45",45,0.80001785874342,3.05661822394247,0.0218294326344346,9.9999071729245,0.100015971591716,0.00236090538135064,1.58914489637496,499.776183572045,11.4343943764722,0.50128372028197,0.174111906262261,0.218286154584893,0.598342945878089,0.109676911255316
"result.46",46,0.800052314069468,0.588858675500115,0.0211108898204714,9.99798880459912,0.100118670718083,0.0025250589539429,1.13593356480627,301.50073889604,7.61253334079271,0.501500860107324,0.173121838220113,0.217871130105114,0.44820217942193,0.109757327695495
"result.47",47,1.42533994611854,0.531143380654239,0.0211108898204714,9.99798880459912,0.100118670718083,0.00431022566534261,2.86156796004106,499.882666745169,26.5288564400352,1.20358640068393,0.0745662720480071,0.399936265868441,0.473917694899281,0.116720714658889
"result.48",48,0.800052314069468,1.75064917345331,0.0211108898204714,9.99798880459912,0.100118670718083,0.00225316765663968,1.56521544668317,499.882666745169,10.69072699271,0.502000637909562,0.185256755577285,0.212598032626735,0.582899052437565,0.11272882057125
"result.49",49,0.905974683945921,0.288838164083137,0.00820055895418487,9.9980194873738,0.100118003257634,4.72872125419813e-06,1.9934436244703,499.872195598756,16.6563314296959,0.746515056046196,0.130125557033902,0.240794619600423,0.485723412059992,0.129473360134642
"result.50",50,1.59379529928199,0.525703294860692,0.0106588907725675,9.99926689310611,0.100016053510396,0.00139998838291211,1.66655463863645,256.464846488844,12.2143959659656,0.500620190603741,0.105022554029104,0.328729900393761,0.651881857336432,0.124056384867651
"result.51",51,0.828611274731483,2.98446643672956,0.0211108898204714,9.99892903827296,0.100118670718083,0.00238590457356468,1.64653434499196,499.882666745169,12.1164372958356,0.567171348116135,0.150978533530515,0.228506299501787,0.55228999013877,0.108460942015983
"result.52",52,0.800052314069468,2.38826263926958,0.00835006368019948,9.99729617865118,0.100016792300928,0.00219816542294357,1.21732702148311,499.979230369646,7.55553210635084,0.503112156519879,0.257531793955038,0.162691055925616,0.444363745166973,0.131293691982569
"result.53",53,0.800052314069468,1.59849459958928,0.0211108898204714,9.99798880435202,0.100118670718083,0.00339252216409801,1.48822566809083,499.882666745125,10.3414948221125,0.502000637909562,0.18914648827227,0.21210390575229,0.562302094958967,0.11109497771034
"result.54",54,0.800052314069468,1.74514112070112,0.0211108898204714,9.99798879300662,0.100118670718083,0.00342098275016998,1.45021009825591,472.415682403298,9.90483533938618,0.502000637909562,0.179486666139554,0.215419663750565,0.560257877878099,0.111031138259889
"result.55",55,0.800052314069468,1.38993272402956,0.0211108898204714,9.99798880459912,0.100118670718083,0.00325786238199557,1.54164217528095,499.882666745169,10.3353973473584,0.541167727328151,0.183028683513631,0.215755154034862,0.544936090625352,0.110547156079069
"result.56",56,0.800052314069468,0.232505675786724,0.0211108898204714,9.99798880459912,0.100118670718083,0.00474928249534255,2.0973811038256,499.882666745169,22.204134922452,0.839599152705078,0.0912585482662128,0.316813011029996,0.505852366911829,0.122065262677705
"result.57",57,0.800052314069468,1.38224488559499,0.0211108898204714,9.99798880459912,0.100118670718083,0.00219305820532852,1.56521544668317,499.882666745169,10.3998039802325,0.502000637909562,0.190747689791504,0.212578149041095,0.567767418061663,0.115739359749121
"result.58",58,0.944410523660857,2.33808562056574,0.012240393064743,9.99987165553906,0.100183382640521,0.00211533204231506,1.52206629225172,499.903886933382,9.29203399141988,0.500019576029725,0.197235134294192,0.202823522046973,0.568265411242929,0.12328452230336
"result.59",59,0.800052314069468,0.333822889165122,0.0338185301264862,9.99925619169643,0.100042980569182,0.00392731613274615,1.95772016699292,499.961414226013,16.6391497537634,0.697098186331256,0.112820812398997,0.287746812732329,0.569255706265522,0.100014192304015
"result.60",60,0.880564445430502,0.301270523037896,0.00995948201954142,9.99987362808195,0.100088559793854,0.00184813674495109,1.46271114530585,499.90353193445,10.5064643259931,0.500590409372071,0.191828600470666,0.195881423842197,0.551362590123497,0.125863253920277
"result.61",61,1.04535654351828,0.364540326174177,0.0211108898204714,9.99798849675916,0.100118670718083,0.00266380441545614,2.47145026211447,499.882666595481,24.1234983441177,0.766043165995741,0.0840964737735787,0.340332775522318,0.638901104840459,0.115962889068199
"result.62",62,0.800052314069468,0.400158288974565,0.0161234977117334,9.99986314095183,0.100038578190422,0.0035894163155581,1.3090016356435,492.816032002429,7.89243577712529,0.500842456802303,0.224700537917789,0.186045984645307,0.500816192702459,0.120427316899034
"result.63",63,1.40809828130725,1.30004539563562,0.0211108898204714,9.99798880459912,0.100118670718083,0.00405423094710363,1.98240618089712,457.337276069731,11.2458627863716,0.502000637909562,0.143280978591809,0.293991380988134,0.754331352114224,0.110841824778071
"result.64",64,0.800052314069468,1.96280468357663,0.0161234977117334,9.99986314095183,0.100038578190422,0.00254007553650136,1.42956890053226,499.925234076531,8.6764999434224,0.500842456802303,0.222444912604432,0.19303608942084,0.516452664429019,0.11908755432972
"result.65",65,0.800052314069468,1.42637888888159,0.0156123098238114,9.99922365670303,0.100084602608143,0.001791946361618,1.32175342588058,388.625938533471,9.68544101457226,0.706995073127321,0.181328928337207,0.204549870787344,0.365946892555793,0.11919498784408
"result.66",66,0.916266549752222,4.43275032111397,0.0147786102176091,9.99911984046767,0.100106422060838,0.00214222947439652,1.56272753624267,499.792283500661,10.4311049475278,0.500444514267128,0.180055032888458,0.211649477023291,0.583101792881246,0.119312629945616
